domain,x,y,z,r,phi_rad,u_pred,v_pred,w_pred,p_pred,T_pred,case_id,Th_in_K,Tc_in_K,uh_in_mps,uc_in_mps
hot_fluid,0.0028897475,0.0037659921,-0.205,0.0047469293,0.91629785,0.016605273,0.045274127,-0.32768378,0.0,300.08484,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0030650399,0.0039944374,-0.205,0.0050348784,0.9162978,0.0010437418,0.03497612,-0.27049583,0.0,300.03693,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0032308358,0.004210507,-0.205,0.005307228,0.91629785,-0.00067584525,0.017651401,-0.20294409,0.0,299.84183,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0033885292,0.004416017,-0.205,0.0055662673,0.9162978,0.004278889,0.024701407,-0.16146617,0.0,299.94757,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0035392032,0.0046123792,-0.205,0.005813777,0.91629785,0.0030365868,0.02058457,-0.13282908,0.0,300.02692,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0036837193,0.0048007164,-0.205,0.0060511706,0.91629785,1.0008936e-05,0.004358489,-0.086982846,0.0,299.6529,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0038227765,0.004981939,-0.205,0.006279597,0.91629785,-0.001999272,0.0015126832,-0.039892457,0.0,299.43842,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0039569493,0.005156797,-0.205,0.0065,0.91629785,-0.0,0.0,-0.0,0.0,299.31592,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0,0.0,-0.205,0.0,0.0,0.066135794,-0.01847345,-0.52988017,0.0,300.15277,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0008391463,0.0014534442,-0.205,0.0016782928,1.0471976,-0.05939007,0.028667547,-0.6712109,0.0,300.5735,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0011867322,0.0020554808,-0.205,0.0023734649,1.0471976,0.013347412,0.018016927,-0.54092854,0.0,299.45203,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0014534441,0.0025174394,-0.205,0.0029068887,1.0471976,-0.027158312,-0.0001462934,-0.4955691,0.0,299.72662,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0016782926,0.0029068885,-0.205,0.0033565855,1.0471976,-0.02509595,0.09188893,-0.4710258,0.0,299.96017,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0018763882,0.00325,-0.205,0.0037527767,1.0471976,-0.034566537,-0.0094630215,-0.42009425,0.0,300.11285,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0020554804,0.003560197,-0.205,0.004110961,1.0471976,-0.014822632,0.019168265,-0.30096364,0.0,300.2625,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0022201724,0.003845452,-0.205,0.0044403453,1.0471976,0.008757507,0.008630653,-0.28262505,0.0,299.97916,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0023734644,0.0041109617,-0.205,0.0047469297,1.0471976,-0.0069601825,0.015829608,-0.28562996,0.0,299.8747,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.002517439,0.0043603326,-0.205,0.0050348784,1.0471976,-0.0098858895,0.026626086,-0.2522661,0.0,299.8886,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.002653614,0.0045961947,-0.205,0.0053072283,1.0471976,-0.023384074,0.0025341397,-0.2144961,0.0,299.43024,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0027831336,0.0048205294,-0.205,0.0055662678,1.0471976,-0.02161455,0.0026603376,-0.16251251,0.0,299.94656,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0029068883,0.005034879,-0.205,0.0058137774,1.0471976,-0.018923774,0.01889563,-0.13611048,0.0,300.10733,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.003025585,0.005240468,-0.205,0.0060511706,1.0471976,-0.012252256,0.010810082,-0.089179836,0.0,299.81656,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0031397983,0.005438291,-0.205,0.006279597,1.0471976,-0.00227445,0.0065382826,-0.03827615,0.0,299.44565,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0032499998,0.0056291656,-0.205,0.0065,1.0471976,-0.0,0.0,-0.0,0.0,299.35153,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0,0.0,-0.205,0.0,0.0,0.066135794,-0.01847345,-0.52988017,0.0,300.15277,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0006422549,0.0015505403,-0.205,0.0016782928,1.1780972,-0.031385526,0.0488946,-0.58910507,0.0,300.102,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.00090828567,0.0021927953,-0.205,0.0023734644,1.1780972,-0.015334177,-0.031728934,-0.4882289,0.0,299.76947,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0011124181,0.0026856146,-0.205,0.0029068883,1.1780972,-0.03755492,0.054029126,-0.49060354,0.0,300.21698,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0012845098,0.0031010807,-0.205,0.0033565855,1.1780972,-0.014752333,0.085427396,-0.49270135,0.0,300.2726,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0014361255,0.0034671135,-0.205,0.0037527767,1.1780972,-0.01873182,0.050900772,-0.45376453,0.0,299.53946,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0015731968,0.0037980329,-0.205,0.004110961,1.1780972,-0.04841898,0.014448456,-0.3600559,0.0,299.99603,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0016992467,0.004102344,-0.205,0.0044403453,1.1780972,-0.056135215,0.047454562,-0.3366026,0.0,300.11713,case_016,311.0,283.5,0.6,1.4
